fid,id,left,top,right,bottom,built_sum,built_mean
"146","146",819426.551876033,626794.977131085,824426.551876033,621794.977131085,97662.2872185707,33.4918680447773
"147","147",819426.551876033,621794.977131085,824426.551876033,616794.977131085,187099.442314148,78.0882480443021
"148","148",819426.551876033,616794.977131085,824426.551876033,611794.977131085,2215.58081817627,52.7519242422921
"154","154",824426.551876033,661794.977131085,829426.551876033,656794.977131085,638.945239901543,1.1617186180028
"155","155",824426.551876033,656794.977131085,829426.551876033,651794.977131085,3302.57349154353,1.15920445473623
"156","156",824426.551876033,651794.977131085,829426.551876033,646794.977131085,1872.82099282742,0.619114377794187
"157","157",824426.551876033,646794.977131085,829426.551876033,641794.977131085,2542.77662929893,0.856153747238695
"158","158",824426.551876033,641794.977131085,829426.551876033,636794.977131085,11889.738001883,4.0032787885128
"159","159",824426.551876033,636794.977131085,829426.551876033,631794.977131085,54735.0004839897,18.7577109266586
"160","160",824426.551876033,631794.977131085,829426.551876033,626794.977131085,127657.202849388,42.9388506052432
"161","161",824426.551876033,626794.977131085,829426.551876033,621794.977131085,91972.7558612823,31.1139228218141
"162","162",824426.551876033,621794.977131085,829426.551876033,616794.977131085,27239.9805641174,40.7174597370963
"167","167",829426.551876033,671794.977131085,834426.551876033,666794.977131085,139.278627455235,0.653890269742885
"168","168",829426.551876033,666794.977131085,834426.551876033,661794.977131085,1571.47094535828,0.995231757668319
"169","169",829426.551876033,661794.977131085,834426.551876033,656794.977131085,2054.58976492286,0.816934300168134
"170","170",829426.551876033,656794.977131085,834426.551876033,651794.977131085,3155.40044391155,1.08209891766514
"171","171",829426.551876033,651794.977131085,834426.551876033,646794.977131085,1479.0847761333,0.498008342132424
"172","172",829426.551876033,646794.977131085,834426.551876033,641794.977131085,6653.02744406462,2.2815594801319
"173","173",829426.551876033,641794.977131085,834426.551876033,636794.977131085,13958.2830965519,4.78679118537445
"174","174",829426.551876033,636794.977131085,834426.551876033,631794.977131085,45822.6523022652,15.7142154671691
"175","175",829426.551876033,631794.977131085,834426.551876033,626794.977131085,101865.534130096,34.2981596397631
"176","176",829426.551876033,626794.977131085,834426.551876033,621794.977131085,97166.5649223328,39.530742441958
"177","177",829426.551876033,621794.977131085,834426.551876033,616794.977131085,888.548732757568,24.0148306150694
"182","182",834426.551876033,671794.977131085,839426.551876033,666794.977131085,1153.30645719171,0.588121599791793
"183","183",834426.551876033,666794.977131085,839426.551876033,661794.977131085,1401.59023857117,0.471915905242817
"184","184",834426.551876033,661794.977131085,839426.551876033,656794.977131085,1600.08493965864,0.548725973819836
"185","185",834426.551876033,656794.977131085,839426.551876033,651794.977131085,2824.83316989243,0.968735654969969
"186","186",834426.551876033,651794.977131085,839426.551876033,646794.977131085,3718.81180566549,1.25212518709276
"187","187",834426.551876033,646794.977131085,839426.551876033,641794.977131085,2801.35840889812,0.960685325410876
"188","188",834426.551876033,641794.977131085,839426.551876033,636794.977131085,10703.2853781581,3.9034592918155
"189","189",834426.551876033,636794.977131085,839426.551876033,631794.977131085,24817.6388225555,8.5108500763222
"190","190",834426.551876033,631794.977131085,839426.551876033,626794.977131085,28050.8933882713,11.4400054601433
"191","191",834426.551876033,626794.977131085,839426.551876033,621794.977131085,9593.30115509033,27.0233835354657
"196","196",839426.551876033,676794.977131085,844426.551876033,671794.977131085,123.933971047401,0.810025954558179
"197","197",839426.551876033,671794.977131085,844426.551876033,666794.977131085,841.989768832922,0.320148201077157
"198","198",839426.551876033,666794.977131085,844426.551876033,661794.977131085,999.839106276631,0.336646163729506
"199","199",839426.551876033,661794.977131085,844426.551876033,656794.977131085,651.850056290627,0.223542543309543
"200","200",839426.551876033,656794.977131085,844426.551876033,651794.977131085,589.334306150675,0.202103671519436
